"Day","Sales","Trading Profit","Operating Expense","Net Profit"
36,19439915,8988056,2834852,6153204
37,20148256,9392923,2921792,6471131
38,21445203,10135492,2992167,7143325
39,23282295,10891338,3116147,7775191
40,23394829,10884264,3237907,7646357
41,25474002,11354313,3328402,8025911
